NUM_QUITTANCE,ID_BRANCHE,BRANCHE,ID_POLICE,ID_AGENT,ANNEE_EMISSION,MOIS_EMISSION,DATE_EMISSION,DATE_ANNULATION,MOIS_ANNULATION,ANNEE_ANNULATION,NATURE_ANNULATION,SITUATION_ANNULATION,MT_RC_ANN,MT_DOM_ANN,MT_INC_ANN,MT_VOL_ANN,MT_PNN_ANN,MT_FGA_ANN,MT_TIMBRE,MT_PTT_ANN,MT_COMMISSION_ANN
QA00000057,1,AUTO,16475,70,2022,8,2022-03-23,2023-08-22,8,2023,Ann.Cxp,En Cours,272.511,213.263,0.0,18.591,611.695,68.128,13.82,737.428,74.11
QA00000095,1,AUTO,1236,95,2023,4,2023-09-06,2023-11-13,11,2023,Rist.Bank,En Cours,62.745,20.66,0.0,11.532,236.417,15.686,11.449,278.587,24.882
QR00000109,2,IRDS,25069,38,1900,4,2018-09-19,2024-05-21,5,2024,NEANT,En Cours,0.0,0.0,0.0,0.0,0.0,0.0,7.114,7.114,0.714
QR00000142,2,IRDS,24222,64,2020,1,2019-04-25,,8,2022,Rist.Agent,En Cours,0.0,0.0,0.0,119.442,119.442,0.0,3.341,128.751,12.092
QA00000230,1,AUTO,11946,59,2025,5,2023-07-04,2024-01-05,7,2023,Rist.Bank,Anterieur,245.65,23.756,44.005,0.0,339.857,61.413,11.644,438.398,65.62
QR00000251,2,IRDS,21766,82,2023,10,2022-03-03,2024-11-09,11,2024,Rist.Agent,Anterieur,88.678,348.303,0.0,0.0,436.981,22.169,6.664,489.161,40.815
QA00000282,1,AUTO,309,157,2025,12,2024-05-03,2025-03-24,5,2024,Annulation,En Cours,465.373,102.039,0.0,24.046,621.143,116.343,5.701,782.843,87.938
QR00000413,2,IRDS,24387,121,2024,10,2022-02-13,2023-06-24,2,2022,Annulation,En Cours,0.0,0.0,0.0,0.0,0.0,0.0,6.929,6.929,0.756
QA00000481,1,AUTO,9256,58,2024,1,2023-12-10,2024-04-07,12,2023,Rist.Bank,En Cours,264.192,0.0,11.973,0.0,307.666,66.048,10.427,408.55,41.054
QR00000493,2,IRDS,20139,200,2021,7,2020-09-29,2022-08-29,8,2022,Rist.Cheque,En Cours,95.323,168.024,0.0,11.519,274.866,23.831,9.568,319.653,17.985
