ID_POLICE,NUM_POLICE,ID_BRANCHE,CODE_PRODUIT,LIB_PRODUIT,BRANCHE,ID_AGENT,ID_CLIENT,TYPE_POLICE,DUREE,PERIODICITE,DATE_EFFET,DATE_ECHEANCE,POLRP,SITUATION,BONUS_MALUS
1,A0000001,1,36,Deux Roues,AUTO,133,15650,individuel,F,S,2019-11-26,2020-11-25,,V,8.0
2,A0000002,1,35,Flotte,AUTO,183,8337,flotte,R,S,2022-05-01,2023-05-01,,V,10.0
3,A0000003,1,37,Carte Verte,AUTO,108,10463,individuel,S,A,2024-12-23,2025-12-23,,V,4.0
4,A0000004,1,38,Carte Orange,AUTO,8,16853,individuel,S,A,2023-12-25,2024-12-24,,V,5.0
5,A0000005,1,30,Automobile,AUTO,127,16805,individuel,R,A,18-08-2020,2021-08-18,,R,3.0
6,A0000006,1,37,Carte Verte,AUTO,107,18180,individuel,R,A,2023-02-23,2024-02-23,,V,8.0
7,A0000007,1,38,Carte Orange,AUTO,76,6606,individuel,S,T,2019/04/11,2020-04-10,,V,4.0
8,A0000008,1,30,Automobile,AUTO,161,29372,flotte,R,S,2019-01-25,2020-01-25,,V,2.0
9,A0000009,1,36,Deux Roues,AUTO,8,5845,individuel,R,A,2023-11-12,2024-11-11,,V,3.0
10,A0000010,1,37,Carte Verte,AUTO,84,12637,flotte,R,A,2021/01/19,2022-01-19,A0000006,V,1.0
11,A0000011,1,38,Carte Orange,AUTO,47,19934,individuel,R,A,2020-10-03,2021-10-03,,V,6.0
12,A0000012,1,37,Carte Verte,AUTO,185,27807,individuel,R,A,2019-09-05,2020/09/04,,V,3.0
13,A0000013,1,35,Flotte,AUTO,191,5228,individuel,R,A,2021-07-16,2022-07-16,,V,6.0
14,A0000014,1,38,Carte Orange,AUTO,107,24051,flotte,R,A,2020-02-18,2021-02-17,,V,5.0
15,A0000015,1,36,Deux Roues,AUTO,196,6557,individuel,R,T,2022-11-04,2023-11-04,,V,7.0
16,A0000016,1,30,Automobile,AUTO,152,11577,individuel,S,A,2019-02-04,2020-02-04,,R,5.0
17,A0000017,1,37,Carte Verte,AUTO,99,18518,individuel,R,A,2021-11-10,2022-11-10,,V,7.0
18,A0000018,1,35,Flotte,AUTO,27,26122,individuel,S,T,2023-07-02,2024-07-01,,V,2.0
19,A0000019,1,37,Carte Verte,AUTO,133,8444,individuel,R,A,2020-07-18,2021-07-18,,V,4.0
20,A0000020,1,30,Automobile,AUTO,55,38,individuel,S,A,2021-08-04,2022-08-04,,V,3.0
21,A0000021,1,36,Deux Roues,AUTO,178,7121,individuel,F,S,2024-02-04,2025-02-03,,T,10.0
22,A0000022,1,37,Carte Verte,AUTO,166,22527,individuel,R,C,2021-12-29,2022-12-29,,T,6.0
23,A0000023,1,38,Carte Orange,AUTO,41,11603,individuel,S,S,2022-10-27,2023-10-27,,R,5.0
24,A0000024,1,36,Deux Roues,AUTO,127,5179,individuel,S,S,2023-03-30,2024-03-29,,V,4.0
25,A0000025,1,38,Carte Orange,AUTO,13,29013,flotte,R,A,2020-02-04,2021-02-03,,R,10.0
26,A0000026,1,35,Flotte,AUTO,126,11084,individuel,R,A,2023-11-21,2024-11-20,,V,2.0
27,A0000027,1,37,Carte Verte,AUTO,148,19346,individuel,R,T,2019-03-21,2020-03-20,,T,5.0
28,A0000028,1,37,Carte Verte,AUTO,82,2329,individuel,S,A,2024-06-12,2025-06-12,,V,1.0
29,A0000029,1,30,Automobile,AUTO,179,2497,individuel,R,A,2019-06-25,2020-06-24,,V,5.0
30,A0000030,1,37,Carte Verte,AUTO,193,1640,flotte,S,S,2019-09-16,2020-09-15,,T,10.0
31,A0000031,1,36,Deux Roues,AUTO,63,25233,individuel,R,A,2022-03-29,2023-03-29,,V,6.0
32,A0000032,1,36,Deux Roues,AUTO,164,17081,individuel,S,S,2019-11-24,2020-11-23,,V,7.0
33,A0000033,1,36,Deux Roues,AUTO,6,10598,individuel,R,A,2024-04-15,2025-04-15,,V,3.0
34,A0000034,1,37,Carte Verte,AUTO,118,1271,flotte,R,S,2024-08-30,2025-08-30,,T,5.0
35,A0000035,1,37,Carte Verte,AUTO,156,20008,flotte,R,S,2020-01-06,2021-01-05,,V,7.0
36,A0000036,1,36,Deux Roues,AUTO,23,21348,individuel,R,A,2020-10-06,2021-10-06,,V,8.0
37,A0000037,1,38,Carte Orange,AUTO,27,26510,individuel,S,A,2020-12-19,2021-12-19,,S,2.0
38,A0000038,1,37,Carte Verte,AUTO,117,14456,individuel,R,A,2021-01-14,2022-01-14,,T,5.0
