ID_PRODUIT,ID_BRANCHE,CODE_PRODUIT,LIB_PRODUIT,CODE_RISQUE,FAMILLE_RISQUE,BRANCHE
30,1,30,Automobile,NV3,Automobile,AUTO
35,1,35,Flotte,NV3,Automobile,AUTO
36,1,36,Deux Roues,NV3,Automobile,AUTO
37,1,37,Carte Verte,NV3,Automobile,AUTO
38,1,38,Carte Orange,NV3,Automobile,AUTO
20,2,20,Incendie,NV2,Incendie,IRDS
21,2,21,Incendie Risque Simple,NV2,Incendie,IRDS
22,2,22,Multi-Risques Entreprise,NV2,Incendie,IRDS
27,2,27,Multi-Risques Habitation,NV2,Incendie,IRDS
80,2,80,R.C Decenale,NV8,Responsabilité Civile,IRDS
81,2,81,R.C Chef De Famille,NV8,Responsabilité Civile,IRDS
83,2,83,R.C Professionnelle,NV8,Responsabilité Civile,IRDS
89,2,89,R.C Divers,NV8,Responsabilité Civile,IRDS
50,2,50,Vol,NV5,Vol,IRDS
51,2,51,Vol Habitations,NV5,Vol,IRDS
17,2,17,Assistance En Voyage 2,NV1,Assistance,IRDS
19,2,19,Assistance En Voyage,NV1,Assistance,IRDS
74,2,74,Bris De Machine,NV7,Risques spéciaux,IRDS
75,2,75,Bris De Glaces,NV7,Risques spéciaux,IRDS
78,2,78,Tous Risques Informatique,NV7,Risques spéciaux,IRDS
60,3,60,Groupe Maladie,NV60,Santé Locale Groupe,SANTE
62,3,62,Groupe Maladie,NV60,Santé Locale Groupe,SANTE
