ID_VEHICULE,ID_POLICE,NUM_SERIE,MARQUE,PUISSANCE,IMMATRICULATION,GENRE_VEHICULE,TYPE_VEHICULE,NB_PLACE,DATE_MEC,VALEUR_A_NEUF,VALEUR_ACTUELLE,CHARGE_UTILE,POIDS_TOTAL,CODE_USAGE
1,1,BELY5YDDNUPN7SAEL,Opel,14,688 TUN 8802,VP,Voiture Particulière,4,2008-04-01,,16390575.732,0.0,21078.15,3
2,2,7HAUWRYWVN9RH4WFA,Peugeot,9,244 TUN 4424,VU,Véhicule Utilitaire,2,2019-08-17,30664712.712,9776675.349,3490.47,16245.73,1
3,3,WPSU9IF1FPOOLD0JA,Fiat,18,211 TUN 6686,TC,Transport en Commun,2,2002-05-07,45426198.136,31532500.933,0.0,16320.42,2
4,4,MSJ6IMS8OSMEWFDQ4,Audi,8,259 TUN 7656,VU,Véhicule Utilitaire,30,2021-09-03,70369480.196,43838503.314,7441.09,14639.46,5
5,5,C3ZQ5JSZKYXL1KEMP,Ford,5,810 TUN 4963,VP,Voiture Particulière,5,2019-01-02,29229194.857,25148273.105,0.0,39048.91,2
6,6,9MK3WEC12H2YW2OUQ,Opel,7,988 TUN 1856,VP,Voiture Particulière,7,2023-08-26,29229434.797,12347567.486,0.0,11611.94,2
7,7,1GD7P128NJ3B64KQ2,Kia,8,474 TUN 6317,VU,Véhicule Utilitaire,4,2008-07-08,72374290.213,41063478.833,2349.82,10237.55,3
8,8,GDL38LQIEWN40V8XA,Peugeot,9,395 TUN 1320,VP,Voiture Particulière,50,2024-12-27,48229076.477,42537430.634,0.0,21979.82,1
9,9,JUGA079S7NKODS7VZ,Opel,6,943 TUN 8517,VP,Voiture Particulière,7,2010-08-27,25984690.25,8127965.473,0.0,26769.53,0
10,10,MTE85QY4P9UJMVWCG,Volkswagen,4,737 TUN 2509,VP,Voiture Particulière,30,2011-06-07,43100075.24,30200869.797,0.0,21440.81,5
11,11,G498U36HKI070E6TI,Audi,10,989 TUN 7877,VP,Voiture Particulière,30,2002-12-26,26063500.169,21825109.271,0.0,26800.86,3
12,12,,Dacia,10,762 TUN 9543,VP,Voiture Particulière,5,2021-09-27,26033387.38,13082883.868,0.0,36036.33,0
13,13,MRWCEB1UQ6EJFL2ST,Fiat,5,143 TUN 4882,VU,Véhicule Utilitaire,2,2007-09-04,37085492.552,25782166.836,12266.0,16067.95,3
14,14,REJXXC4YMKYVB83TN,Renault,11,401 TUN 1036,VP,Voiture Particulière,50,2008-01-04,12624061.032,4895427.427,0.0,21456.45,3
15,15,N25VS6MWCR0ES0KL5,Dacia,13,907 TUN 9359,VU,Véhicule Utilitaire,4,2022-05-14,13870798.525,9651026.326,9876.68,8945.97,5
16,16,N311VCF5PQ63WSFLB,Nissan,25,116 TUN 2232,VU,Véhicule Utilitaire,5,2012-10-11,24806381.941,13357106.247,14851.31,9276.71,0
17,17,MRYVMO3RYR63PJDAH,Peugeot,7,829 TUN 9386,VP,Voiture Particulière,9,2005-12-13,19802915.233,8105040.465,0.0,36976.53,3
18,18,0DK4DRIE91VUVPFQI,Audi,6,119 TUN 1060,VP,Voiture Particulière,2,2003-08-13,38450372.635,11666700.966,0.0,33742.43,1
19,19,HMW4R2A7MLA3EE1C6,BMW,20,158 TUN 2199,VP,Voiture Particulière,4,2015-10-06,20868329.677,8757847.376,0.0,28747.92,2
20,20,RBBJUCYT0GDD6VDW4,Kia,11,998 TUN 7618,VU,Véhicule Utilitaire,50,2018-04-14,16217531.855,12956968.929,14099.8,9595.32,3
21,21,5A2EZ8GOQS4O2DWHV,Citroen,15,212 TUN 8624,VP,Voiture Particulière,7,2018-08-13,68379228.765,51526255.958,0.0,10106.28,1
22,22,26WLKXD4JIYPJ15U2,Citroen,9,362 TUN 8354,VP,Voiture Particulière,4,2019-11-08,29351879.179,25853940.236,0.0,10930.43,4
23,23,08HM4IQNUSIO2S2WS,Opel,8,138 TUN 7302,VU,Véhicule Utilitaire,50,2012-03-08,33988044.26,14239152.849,5178.63,16653.95,5
24,24,BS9STYKX5Y0NQSC28,Skoda,16,382 TUN 2427,AR,Tracteur/Remorque,1,2008-09-25,16116935.732,8308726.607,0.0,21525.34,1
25,25,TK8OKXZS586TLIXEK,Seat,11,600 TUN 9165,VP,Voiture Particulière,16,2005-06-04,25029455.686,7699528.872,0.0,7910.35,5
26,26,LHV5NWN65EKTZ1DYV,Fiat,20,150 TUN 6317,VP,Voiture Particulière,9,2000-05-03,34733547.82,15006754.131,0.0,33819.61,0
27,27,YY5UXBGMKTGWX0OWT,Hyundai,11,460 TUN 1471,AR,Tracteur/Remorque,1,2021-10-19,18481087.877,15288210.452,0.0,12863.08,1
28,28,7C0YPY9DOYGNA3F5N,Audi,5,614 TUN 8164,VP,Voiture Particulière,7,2014-05-19,39650110.311,16952268.754,0.0,5678.0,0
29,29,PRTNDVVG5SVOS4V4W,Audi,11,390 TUN 9659,VP,Voiture Particulière,7,2023-07-22,24335236.848,8652257.465,0.0,16467.44,4
30,30,KIE3D19EVQYKYWAEB,Mercedes,11,781 TUN 2884,VP,Voiture Particulière,4,2003-04-26,28400247.108,,0.0,4602.95,3
31,31,LKLPJ75Q2HYWBEMWD,BMW,17,,VP,Voiture Particulière,5,2008-10-05,24322246.246,17404225.765,0.0,29177.37,5
32,32,GLNUVW9NV12EGWKAP,Mercedes,9,464 TUN 9071,VP,Voiture Particulière,50,2006-09-27,82962094.713,66047064.944,0.0,38088.77,5
33,33,X9F0HZ3R1NCPOZP4S,Kia,12,681 TUN 6498,VU,Véhicule Utilitaire,9,2009-07-24,32638615.393,12296975.396,1181.89,29184.58,5
34,34,2E5XHKS9A1UTSN467,Kia,14,279 TUN 8271,VP,Voiture Particulière,16,2000-06-21,19363488.496,15061220.651,0.0,2260.1,3
35,35,8FGYZOLFJ98AH0AJX,Audi,8,655 TUN 8369,PL,Poids Lourd,1,2005-06-21,49576512.193,38351754.885,2756.95,4232.3,5
36,36,X75ZHXU7Z744L6O0B,Citroen,7,204 TUN 7493,VU,Véhicule Utilitaire,2,2023-01-13,17846776.363,5616842.265,9650.16,19532.17,0
37,37,MLXDZSZQTJYR7C2PB,Audi,11,784 TUN 9921,PL,Poids Lourd,1,2011-06-04,36476802.789,30492577.611,10643.51,5755.3,4
38,38,2BDC546JPVEB142G3,Seat,5,326 TUN 9076,VP,Voiture Particulière,4,2002-04-05,12334616.5,10531729.918,0.0,11415.05,0
39,39,TNJHNX5LA5CZY5PE3,Audi,7,631 TUN 8027,TC,Transport en Commun,1,2010-03-07,16914169.398,5219539.939,0.0,31115.07,4
40,40,R2SH5349Q1P0XX60Z,Hyundai,9,518 TUN 8695,VU,Véhicule Utilitaire,7,2013-01-08,36258554.474,26908980.336,1446.21,37847.35,0
